Group Code,Customer Account ID,Customer Name,Line of Business,Line of Coverage,Premium Due Date,Premium Amount,Rate,Payment Amount,Payment Category Name,Marketer Name,Product Name,"* Paid Family Medical Leave  PFML  compensation is identified as Paid Medical Leave  PML  in some states.


Customer Confidential     This document is the property of Principal. It may not be shared without explicit permission of Principal."
00366-00246,1068378-10001,ANDRETTI INDOOR,GROUP,STD,05/01/2025,-603.19,15%,-90.47,RENEWAL,J C SNELLINGS/J A MASSEY,
00366-00246,1200900-10001,TurningPoint Bre,GROUP,STD,05/01/2025,533.15,15%,79.97,FIRST YEAR,W J POTTER,
00366-00246,1200900-10001,TurningPoint Bre,GROUP,LTD,05/01/2025,201.98,15%,30.30,FIRST YEAR,W J POTTER,
00366-00246,1200900-10001,TurningPoint Bre,GROUP,LIFE,05/01/2025,38.60,15%,5.79,FIRST YEAR,W J POTTER,
00366-00246,1200900-10001,TurningPoint Bre,GROUP,VOL TRM LIFE,05/01/2025,17.25,15%,2.59,FIRST YEAR,W J POTTER,
00366-00246,1200900-10001,TurningPoint Bre,GROUP,VOL DENTAL,05/01/2025,340.80,10%,34.08,FIRST YEAR,W J POTTER,
00366-00246,1200900-10001,TurningPoint Bre,GROUP,VISION,05/01/2025,61.60,10%,6.16,FIRST YEAR,W J POTTER,
00366-00246,1201465-10001,PrimeHealth MD,GROUP,STD,04/01/2025,872.58,15%,130.89,FIRST YEAR,W J POTTER,
00366-00246,1201465-10001,PrimeHealth MD,GROUP,VOL TRM LIFE,04/01/2025,142.71,15%,21.41,FIRST YEAR,W J POTTER,
00366-00246,1201465-10001,PrimeHealth MD,GROUP,VOL DENTAL,04/01/2025,215.37,10%,21.54,FIRST YEAR,W J POTTER,
00366-00246,1201465-10001,PrimeHealth MD,GROUP,VISION,04/01/2025,40.98,10%,4.10,FIRST YEAR,W J POTTER,
00366-00246,1201465-10001,PrimeHealth MD,GROUP,STD,05/01/2025,976.93,15%,146.54,FIRST YEAR,W J POTTER,
00366-00246,1201465-10001,PrimeHealth MD,GROUP,VOL TRM LIFE,05/01/2025,243.14,15%,36.47,FIRST YEAR,W J POTTER,
00366-00246,1201465-10001,PrimeHealth MD,GROUP,VOL DENTAL,05/01/2025,282.19,10%,28.22,FIRST YEAR,W J POTTER,
00366-00246,1201465-10001,PrimeHealth MD,GROUP,VISION,05/01/2025,52.95,10%,5.29,FIRST YEAR,W J POTTER,
00366-00246,1201645-10001,Bevo Security So,GROUP,VOL TRM LIFE,03/01/2025,390.35,15%,58.55,FIRST YEAR,W J POTTER,
00366-00246,1201645-10001,Bevo Security So,GROUP,LIFE,03/01/2025,108.81,15%,16.32,FIRST YEAR,W J POTTER,
00366-00246,1201645-10001,Bevo Security So,GROUP,DENTAL,03/01/2025,439.03,10%,43.90,FIRST YEAR,W J POTTER,
00366-00246,1201645-10001,Bevo Security So,GROUP,VISION,03/01/2025,93.76,10%,9.38,FIRST YEAR,W J POTTER,
00366-00246,1201645-10001,Bevo Security So,GROUP,VOL TRM LIFE,04/01/2025,539.35,15%,80.90,FIRST YEAR,W J POTTER,
00366-00246,1201645-10001,Bevo Security So,GROUP,LIFE,04/01/2025,108.81,15%,16.32,FIRST YEAR,W J POTTER,
00366-00246,1201645-10001,Bevo Security So,GROUP,DENTAL,04/01/2025,439.03,10%,43.90,FIRST YEAR,W J POTTER,
00366-00246,1201645-10001,Bevo Security So,GROUP,VISION,04/01/2025,93.76,10%,9.38,FIRST YEAR,W J POTTER,
00366-00246,1201645-10001,Bevo Security So,GROUP,VOL TRM LIFE,05/01/2025,522.70,15%,78.41,FIRST YEAR,W J POTTER,
00366-00246,1201645-10001,Bevo Security So,GROUP,LIFE,05/01/2025,97.64,15%,14.65,FIRST YEAR,W J POTTER,
00366-00246,1201645-10001,Bevo Security So,GROUP,VOL TRM LIFE,05/01/2025,16.65,15%,2.50,FIRST YEAR,W J POTTER,
00366-00246,1201645-10001,Bevo Security So,GROUP,LIFE,05/01/2025,3.11,15%,.47,FIRST YEAR,W J POTTER,
00366-00246,1201645-10001,Bevo Security So,GROUP,DENTAL,05/01/2025,425.46,10%,42.55,FIRST YEAR,W J POTTER,
00366-00246,1201645-10001,Bevo Security So,GROUP,VISION,05/01/2025,90.85,10%,9.09,FIRST YEAR,W J POTTER,
00366-00246,1201645-10001,Bevo Security So,GROUP,VISION,05/01/2025,-3.56,10%,-.36,FIRST YEAR,W J POTTER,
00366-00246,1201645-10001,Bevo Security So,GROUP,DENTAL,05/01/2025,-16.20,10%,-1.62,FIRST YEAR,W J POTTER,
00366-00246,1202113-10001,S. P. Petroleum,GROUP,VOL TRM LIFE,04/01/2025,282.04,15%,42.31,FIRST YEAR,W J POTTER,
00366-00246,1202113-10001,S. P. Petroleum,GROUP,DENTAL,04/01/2025,389.16,10%,38.92,FIRST YEAR,W J POTTER,
00366-00246,1202113-10001,S. P. Petroleum,GROUP,VISION,04/01/2025,35.93,10%,3.59,FIRST YEAR,W J POTTER,
00366-00246,1202113-10001,S. P. Petroleum,GROUP,VOL TRM LIFE,05/01/2025,282.04,15%,42.31,FIRST YEAR,W J POTTER,
00366-00246,1202113-10001,S. P. Petroleum,GROUP,DENTAL,05/01/2025,389.16,10%,38.92,FIRST YEAR,W J POTTER,
00366-00246,1202113-10001,S. P. Petroleum,GROUP,VISION,05/01/2025,35.93,10%,3.59,FIRST YEAR,W J POTTER,
